#device_id, rssi_1, snr_1, rssi_2, snr_2, rssi_3, snr_3, spreading_factor, ts, lat, long, alt
1,-109.0,4.2,-107.0,5.2,-120.0,-13.5,12.0,1676461237.919161,42.47060775756836,-9.001788139343262,68.9000015258789
1,-109.0,4.2,-107.0,6.0,-119.0,-12.5,11.0,1676461312.525769,42.47065353393555,-9.001777648925781,57.0
1,-110.0,6.5,-107.0,8.8,-120.0,-15.8,10.0,1676461443.438279,42.47062301635742,-9.001910209655762,26.799999237060547
1,-99.0,7.0,-106.0,5.2,-120.0,-14.0,12.0,1676461947.726636,42.46993637084961,-9.002394676208496,60.70000076293945
1,-104.0,7.2,-111.0,3.8,0,0,11.0,1676462025.504406,42.470245361328125,-9.002385139465332,1.399999976158142
1,-114.0,2.0,-114.0,2.0,0,0,10.0,1676462156.394878,42.46976089477539,-9.002907752990723,66.4000015258789
1,-108.0,9.0,-106.0,9.8,0,0,9.0,1676462192.412477,42.4698371887207,-9.002974510192871,62.5
1,-106.0,6.5,-112.0,4.2,0,0,8.0,1676462263.320386,42.470314025878906,-9.003697395324707,5.0
1,-104.0,10.8,-112.0,4.8,0,0,7.0,1676462340.328862,42.46997833251953,-9.004536628723145,3.5999999046325684
2,-63.0,14.2,-108.0,8.0,-119.0,-13.5,9.0,1677068249.894482,42.46949005126953,-9.013080596923828,78.4000015258789
2,-66.0,16.0,-117.0,1.2,-115.0,1.8,8.0,1677068266.744578,42.46944808959961,-9.012589454650879,76.5999984741211
2,-68.0,10.0,-115.0,2.5,0,0,7.0,1677068283.673181,42.46942901611328,-9.01181411743164,73.30000305175781
2,-69.0,14.5,-118.0,-3.0,-114.0,2.2,12.0,1677068303.066835,42.4693603515625,-9.011331558227539,75.4000015258789
2,-71.0,11.0,-112.0,-0.8,-111.0,-14.0,11.0,1677068320.874055,42.469322204589844,-9.011148452758789,81.0
2,-78.0,9.8,0,0,-117.0,-3.5,10.0,1677068338.179509,42.46904373168945,-9.010882377624512,78.19999694824219
2,-78.0,11.8,-120.0,-8.5,-120.0,-8.8,9.0,1677068354.891653,42.46876525878906,-9.010655403137207,76.5999984741211
2,-79.0,14.2,0,0,-119.0,-5.8,8.0,1677068371.775932,42.46869659423828,-9.010567665100098,69.5
2,-78.0,14.0,0,0,-118.0,-1.5,7.0,1677068388.678574,42.46797561645508,-9.01032543182373,72.5
2,-80.0,7.2,-116.0,0.2,-117.0,-4.0,12.0,1677068408.078789,42.467533111572266,-9.01030445098877,67.69999694824219
